country,geo,siec,type,unit,source,scenario,year,cap
Switzerland,CH,RA440,Solar photovoltaic,MW,BFE,GES2023,2010,125.4
Switzerland,CH,RA441,Solar photovoltaic,MW,BFE,GES2023,2011,222.9
Switzerland,CH,RA442,Solar photovoltaic,MW,BFE,GES2023,2012,436.5
Switzerland,CH,RA443,Solar photovoltaic,MW,BFE,GES2023,2013,755.6
Switzerland,CH,RA444,Solar photovoltaic,MW,BFE,GES2023,2014,1060.6
Switzerland,CH,RA445,Solar photovoltaic,MW,BFE,GES2023,2015,1394
Switzerland,CH,RA446,Solar photovoltaic,MW,BFE,GES2023,2016,1664.2
Switzerland,CH,RA447,Solar photovoltaic,MW,BFE,GES2023,2017,1906.4
Switzerland,CH,RA448,Solar photovoltaic,MW,BFE,GES2023,2018,2173.2
Switzerland,CH,RA449,Solar photovoltaic,MW,BFE,GES2023,2019,2498.1
Switzerland,CH,RA450,Solar photovoltaic,MW,BFE,GES2023,2020,2973.4
Switzerland,CH,RA451,Solar photovoltaic,MW,BFE,GES2023,2021,3655.3
Switzerland,CH,RA452,Solar photovoltaic,MW,BFE,GES2023,2022,4736.7
Switzerland,CH,RA453,Solar photovoltaic,MW,BFE,GES2023,2023,6374.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1990,1.5
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1991,2.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1992,3.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1993,4.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1994,5.2
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1995,5.9
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1996,6.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1997,7.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1998,8.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,1999,9.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2000,11.2
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2001,13
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2002,14.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2003,17.6
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2004,18.1
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2005,20.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2006,23.8
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2007,28.6
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2008,36.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2009,54.4
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2010,93.6
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2011,168.1
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2012,299.5
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2013,500.5
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2014,841.6
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2015,1118.5
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2016,1333.5
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2017,1683.2
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2018,1945.1
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2019,2177.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2020,2598.7
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2021,2842
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2022,3857.8
Switzerland,CH,RA400,Solar,GWh,BFE,GES2023,2023,4624.3
Switzerland,CH,RA420,Solar photovoltaic,GWh,BFE,GES2023,1990,1.5
Switzerland,CH,RA421,Solar photovoltaic,GWh,BFE,GES2023,1991,2.4
Switzerland,CH,RA422,Solar photovoltaic,GWh,BFE,GES2023,1992,3.4
Switzerland,CH,RA423,Solar photovoltaic,GWh,BFE,GES2023,1993,4.4
Switzerland,CH,RA424,Solar photovoltaic,GWh,BFE,GES2023,1994,5.2
Switzerland,CH,RA425,Solar photovoltaic,GWh,BFE,GES2023,1995,5.9
Switzerland,CH,RA426,Solar photovoltaic,GWh,BFE,GES2023,1996,6.7
Switzerland,CH,RA427,Solar photovoltaic,GWh,BFE,GES2023,1997,7.4
Switzerland,CH,RA428,Solar photovoltaic,GWh,BFE,GES2023,1998,8.4
Switzerland,CH,RA429,Solar photovoltaic,GWh,BFE,GES2023,1999,9.7
Switzerland,CH,RA430,Solar photovoltaic,GWh,BFE,GES2023,2000,11.2
Switzerland,CH,RA431,Solar photovoltaic,GWh,BFE,GES2023,2001,13
Switzerland,CH,RA432,Solar photovoltaic,GWh,BFE,GES2023,2002,14.7
Switzerland,CH,RA433,Solar photovoltaic,GWh,BFE,GES2023,2003,17.6
Switzerland,CH,RA434,Solar photovoltaic,GWh,BFE,GES2023,2004,18.1
Switzerland,CH,RA435,Solar photovoltaic,GWh,BFE,GES2023,2005,20.7
Switzerland,CH,RA436,Solar photovoltaic,GWh,BFE,GES2023,2006,23.8
Switzerland,CH,RA437,Solar photovoltaic,GWh,BFE,GES2023,2007,28.6
Switzerland,CH,RA438,Solar photovoltaic,GWh,BFE,GES2023,2008,36.7
Switzerland,CH,RA439,Solar photovoltaic,GWh,BFE,GES2023,2009,54.4
Switzerland,CH,RA440,Solar photovoltaic,GWh,BFE,GES2023,2010,93.6
Switzerland,CH,RA441,Solar photovoltaic,GWh,BFE,GES2023,2011,168.1
Switzerland,CH,RA442,Solar photovoltaic,GWh,BFE,GES2023,2012,299.5
Switzerland,CH,RA443,Solar photovoltaic,GWh,BFE,GES2023,2013,500.5
Switzerland,CH,RA444,Solar photovoltaic,GWh,BFE,GES2023,2014,841.6
Switzerland,CH,RA445,Solar photovoltaic,GWh,BFE,GES2023,2015,1118.5
Switzerland,CH,RA446,Solar photovoltaic,GWh,BFE,GES2023,2016,1333.5
Switzerland,CH,RA447,Solar photovoltaic,GWh,BFE,GES2023,2017,1683.2
Switzerland,CH,RA448,Solar photovoltaic,GWh,BFE,GES2023,2018,1945.1
Switzerland,CH,RA449,Solar photovoltaic,GWh,BFE,GES2023,2019,2177.7
Switzerland,CH,RA450,Solar photovoltaic,GWh,BFE,GES2023,2020,2598.7
Switzerland,CH,RA451,Solar photovoltaic,GWh,BFE,GES2023,2021,2842
Switzerland,CH,RA452,Solar photovoltaic,GWh,BFE,GES2023,2022,3857.8
Switzerland,CH,RA453,Solar photovoltaic,GWh,BFE,GES2023,2023,4624.3
